Date,Open,High,Low,Close,Volume,Adj Close
2019-03-28,160,160.25,155.199997,155.899994,25492224,154.935272
2019-04-01,160.5,160.949997,155.800003,157.25,20605152,156.276917
2019-04-02,159.199997,159.699997,156.399994,157.5,10435568,156.525375
2019-04-03,158.550003,159.100006,154.600006,155.449997,8283863,154.488052
2019-04-04,155.25,156.350006,153.300003,155.25,10752094,154.289291
2019-04-05,156,157.149994,153.949997,156.550003,6797106,155.581253
2019-04-08,157.800003,160.25,156.550003,158.100006,13120469,157.121674
2019-04-09,158.600006,158.899994,157.050003,157.550003,8487177,156.575073
2019-04-10,156.949997,159.949997,156.800003,158,9363447,157.022278
2019-04-11,158,159.399994,155.899994,158.600006,5279154,157.618576
2019-04-12,159,159.649994,157.25,157.600006,5631030,156.624756
2019-04-15,158.300003,158.300003,156.100006,156.449997,3902646,155.481873
2019-04-16,156.5,161,155.850006,160.449997,8394765,159.457123
2019-04-18,160.850006,162.199997,159.050003,160.600006,9606055,159.606201
2019-04-22,160.699997,161.5,156.899994,157.899994,5543020,156.922897
2019-04-23,158,165,157.600006,163.75,10137024,162.736694
2019-04-24,165.699997,170.449997,165.699997,168.649994,33596281,167.606369
2019-04-25,168.350006,170,166.550003,168.850006,134264338,167.805145
2019-04-26,169.5,169.949997,167.899994,168.399994,8708111,167.357925
2019-04-30,168,171.149994,166.149994,169.199997,9844317,168.152969
2019-05-02,169.300003,172,168.399994,168.899994,22056708,167.854828
2019-05-03,168.850006,171.899994,168.699997,170.25,12720120,169.196472
2019-05-06,170,171.699997,168.149994,170.149994,18962836,169.097092
2019-05-07,170.399994,172.5,168.600006,171.699997,9042790,170.637497
2019-05-08,171.399994,171.399994,167.75,168.899994,8603091,167.854828
2019-05-09,167.399994,170.100006,167.399994,169.399994,6869953,168.35173
2019-05-10,168.399994,169.399994,165.699997,166.300003,6195094,165.27092
2019-05-13,167.199997,167.899994,163,164.100006,7792358,163.084534
2019-05-14,162,165.399994,160.850006,164.149994,7268915,163.134216
2019-05-15,164.600006,165.199997,161.800003,162.75,5412275,161.742889
2019-05-16,163.399994,166.899994,162,165.949997,5197438,164.92308
2019-05-17,166.5,168,162.100006,167.350006,5532072,166.314423
2019-05-20,170,176.600006,169.100006,176,7103649,174.910889
2019-05-21,175.100006,176.5,173.800003,174.75,7135887,173.668625
2019-05-22,174.850006,178,174.149994,177,10347293,175.904709
2019-05-23,178.5,178.899994,173,174.149994,9247879,173.072342
2019-05-24,174,175.899994,168.800003,174.399994,9263195,173.320786
2019-05-27,174,175.199997,172.550003,173.649994,7461458,172.575424
2019-05-28,173.149994,176.399994,171.600006,175.300003,16628505,174.215225
2019-05-29,173.899994,174.649994,170.350006,171.550003,7205487,170.488434
2019-05-30,172,172,167.550003,169.449997,21945960,168.401428
2019-05-31,168,173.949997,166.550003,171.949997,17113729,170.885956
2019-06-03,173,173.199997,167.5,172.149994,17756361,171.084717
2019-06-04,172.899994,173.5,170.050003,170.600006,8578302,169.544312
2019-06-06,170.5,172.100006,168.850006,169.399994,14152285,168.35173
2019-06-07,169.600006,170.100006,166.550003,167.5,5052519,166.463501
2019-06-10,168.100006,169,163.199997,164.649994,10866149,163.631119
2019-06-11,164.850006,170.350006,164.850006,169.25,11282418,168.202667
2019-06-12,168.050003,171.449997,166,170.850006,9478876,169.79277
2019-06-13,168.800003,170.199997,167,168.949997,6678516,167.904526
2019-06-14,168.949997,171,168.449997,169.300003,7153585,168.252365
2019-06-17,169.5,169.949997,162.949997,164.399994,4603627,163.382675
2019-06-18,164,166.949997,163.25,166.149994,5808715,165.121841
2019-06-19,166.800003,169.100006,164.600006,167.350006,4625698,166.314423
2019-06-20,166.300003,172.75,166.300003,172,5793816,170.935654
2019-06-21,171.75,173.449997,169.800003,170.949997,11402911,169.892136
2019-06-24,171.149994,171.850006,164.850006,165.199997,6585159,164.177719
2019-06-25,165.5,168.449997,165.5,166.199997,6697367,165.171539
2019-06-26,166.100006,169.149994,166.100006,167.550003,5978575,166.513184
2019-06-27,167.550003,171.800003,167.25,170.600006,36738164,169.544312
2019-06-28,170.300003,171.300003,166.649994,167.75,5325984,166.711945
2019-07-01,168.199997,170.399994,159.25,161,15160240,160.003723
2019-07-02,163,166.25,161.5,165.649994,10975678,164.624939
2019-07-03,165.800003,167.949997,163.5,166.300003,8253849,165.27092
2019-07-04,166.399994,168.899994,166.100006,167.100006,8827834,166.065979
2019-07-05,167.100006,168.050003,160,161.5,14509056,160.500626
2019-07-08,161.449997,161.5,151.050003,152.399994,10273814,151.456924
2019-07-09,152.399994,155.449997,150.649994,153.399994,15033604,152.450745
2019-07-10,153.050003,154.399994,149.649994,151.649994,5310646,150.711563
2019-07-11,153,154.100006,152,153.100006,6576542,152.152603
2019-07-12,153,153.350006,148,149.699997,13015538,148.773636
2019-07-15,150,151.699997,148.800003,150.699997,8465078,149.767456
2019-07-16,151,154.399994,150.699997,152.25,12865346,151.307861
2019-07-17,152.399994,153.649994,149,149.899994,8046201,148.972397
2019-07-18,149.949997,150.800003,143.050003,143.399994,15971004,142.512619
2019-07-19,144.5,145.800003,140.399994,143.899994,25660025,143.009521
2019-07-22,144,147.399994,140.649994,146.649994,12077069,145.742508
2019-07-23,146.5,147.75,144.149994,144.600006,5519598,143.7052
2019-07-24,145.399994,145.850006,142.899994,143.600006,9202665,142.711395
2019-07-25,144.300003,144.800003,141.399994,143.850006,28004780,142.959854
2019-07-26,144.399994,144.399994,141.399994,141.899994,10055490,141.021896
2019-07-29,142,142.399994,138.350006,140.350006,19155260,139.481506
2019-07-30,141.399994,141.800003,138.100006,138.75,11943745,137.891403
2019-07-31,137.699997,139.699997,136.25,138.850006,9857785,137.990784
2019-08-01,138.5,139.75,135.100006,136.899994,9105690,136.052841
2019-08-02,136,136.350006,132.75,134.350006,9912972,133.518631
2019-08-05,132.800003,132.899994,130.100006,131.300003,9551686,130.487503
2019-08-06,130.850006,132.5,129.350006,131.449997,11765339,130.636566
2019-08-07,131.449997,131.850006,128.399994,130.5,13083927,129.692459
2019-08-08,130.5,132.699997,127.900002,130.850006,10164125,130.040298
2019-08-09,131.649994,132.399994,129.649994,130.949997,8847432,130.139664
2019-08-13,130.949997,133.5,125.5,127.75,12944927,126.959473
2019-08-14,129,129.800003,125.75,126.849998,14449993,126.065041
2019-08-16,127.699997,129.100006,126.400002,127.900002,12017531,127.108543
2019-08-19,128,128.5,126.050003,126.300003,5695238,125.518448
2019-08-20,126.599998,126.849998,124.349998,125.050003,6214250,124.276184
2019-08-21,125,125.550003,119.650002,121.199997,9765538,120.449997
2019-08-22,121.199997,121.5,116.199997,116.949997,8867462,116.949997
2019-08-23,116.349998,123.449997,115.75,122.25,10008179,122.25
2019-08-26,124,125.050003,119.599998,123.75,11056410,123.75
2019-08-27,124.099998,126.400002,123.150002,125.599998,18829260,125.599998
2019-08-28,125.050003,125.949997,120.400002,121.199997,11763322,121.199997
2019-08-29,0,121.199997,119.5,120.900002,776740,120.900002
